P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year,Norm Distance
KOI-510.02,Kepler-172 c,Hot,rocky-iron,20.29,2.35,3.67,1016.2,6.39,0.07,KOI-510,Lyr,0.90,1.01,0,2015,0.07070707
KOI-510.03,Kepler-172 d,Hot,rocky-iron,15.54,2.21,3.18,781.5,14.63,0.11,KOI-510,Lyr,0.90,1.01,0,2015,0.11111111
KOI-510.04,Kepler-172 e,Hot,rocky-iron,22.72,2.41,3.91,597.7,35.12,0.20,KOI-510,Lyr,0.90,1.01,0,2015,0.20202020
KOI-511.01,Kepler-173 c,Hot,rocky-iron,22.72,2.41,3.91,1004.6,8.01,0.07,KOI-511,Cyg,0.79,0.94,0,2015,0.07070707
KOI-511.02,Kepler-173 b,Hot,rocky-iron,2.00,1.28,1.22,1215.5,4.26,0.05,KOI-511,Cyg,0.79,0.94,0,2015,0.05050505
KOI-518.01,Kepler-174 b,Hot,rocky-iron,8.07,1.88,2.28,550.3,13.98,0.10,KOI-518,Lyr,0.58,0.59,0,2015,0.10101010
KOI-518.02,Kepler-174 c,Hot,rocky-iron,3.17,1.46,1.49,384.7,44.00,0.20,KOI-518,Lyr,0.58,0.59,0,2015,0.20202020
KOI-518.03,Kepler-174 d,Warm,rocky-iron,12.55,2.10,2.85,240.5,247.35,0.64,KOI-518,Lyr,0.58,0.59,1,2015,0.64646464
KOI-520.02,Kepler-176 b,Hot,rocky-iron,2.80,1.41,1.41,944.4,5.43,0.06,KOI-520,Cyg,0.83,0.88,0,2015,0.06060606
KOI-534.01,Kepler-179 c,Hot,rocky-iron,17.10,2.26,3.35,854.6,6.40,0.06,KOI-534,Cyg,0.85,0.76,0,2015,0.06060606
KOI-534.02,Kepler-179 b,Hot,rocky-iron,4.21,1.58,1.69,1112.2,2.74,0.04,KOI-534,Cyg,0.85,0.76,0,2015,0.04040404
KOI-542.02,Kepler-180 b,Hot,rocky-iron,3.57,1.51,1.57,820.5,13.82,0.11,KOI-542,Cyg,0.88,1.03,0,2015,0.11111111
KOI-543.01,Kepler-181 c,Hot,rocky-iron,12.07,2.08,2.79,972.9,4.30,0.05,KOI-543,Cyg,0.84,0.76,0,2015,0.05050505
KOI-543.02,Kepler-181 b,Hot,rocky-iron,2.28,1.33,1.29,1067.8,3.14,0.04,KOI-543,Cyg,0.84,0.76,0,2015,0.04040404
KOI-551.01,Kepler-183 c,Hot,rocky-iron,21.88,2.39,3.83,839.8,11.64,0.10,KOI-551,Cyg,1.04,0.94,0,2015,0.10101010
KOI-551.02,Kepler-183 b,Hot,rocky-iron,14.95,2.19,3.12,1050.5,5.69,0.06,KOI-551,Cyg,1.04,0.94,0,2015,0.06060606
KOI-567.01,Kepler-184 b,Hot,rocky-iron,23.16,2.42,3.95,834.7,10.69,0.09,KOI-567,Lyr,0.87,0.86,0,2015,0.09090909
KOI-567.02,Kepler-184 c,Hot,rocky-iron,11.16,2.04,2.68,679.5,20.30,0.14,KOI-567,Lyr,0.87,0.86,0,2015,0.14141414
KOI-569.01,Kepler-185 c,Hot,rocky-iron,8.07,1.88,2.28,593.4,20.73,0.14,KOI-569,Lyr,0.81,0.79,0,2015,0.14141414
KOI-569.02,Kepler-185 b,Hot,rocky-iron,1.43,1.16,1.06,1316.7,1.63,0.03,KOI-569,Lyr,0.81,0.79,0,2015,0.03030303
KOI-571.01,Kepler-186 c,Hot,rocky-iron,1.74,1.23,1.15,505.1,7.27,0.06,KOI-571,Cyg,0.48,0.46,0,2015,0.06060606
KOI-571.02,Kepler-186 d,Hot,rocky-iron,3.75,1.53,1.60,422.9,13.34,0.09,KOI-571,Cyg,0.48,0.46,0,2015,0.09090909
KOI-571.03,Kepler-186 b,Hot,rocky-iron,1.02,1.05,0.93,611.3,3.89,0.04,KOI-571,Cyg,0.48,0.46,0,2015,0.04040404
KOI-571.04,Kepler-186 e,Hot,rocky-iron,1.89,1.26,1.19,358.8,22.41,0.12,KOI-571,Cyg,0.48,0.46,0,2015,0.12121212
KOI-571.05,Kepler-186 f,Warm,rocky-iron,1.05,1.06,0.94,213.1,129.95,0.39,KOI-571,Cyg,0.48,0.46,1,2015,0.39393939
KOI-572.02,Kepler-187 b,Hot,rocky-iron,1.89,1.26,1.19,1211.5,4.94,0.05,KOI-572,Cyg,0.90,1.10,0,2015,0.05050505
KOI-573.02,Kepler-188 b,Hot,rocky-iron,5.04,1.66,1.83,1602.4,2.06,0.03,KOI-573,Lyr,0.99,1.09,0,2015,0.03030303
KOI-574.02,Kepler-189 b,Hot,rocky-iron,2.28,1.33,1.29,714.1,10.40,0.09,KOI-574,Lyr,0.84,0.76,0,2015,0.09090909
KOI-579.01,Kepler-190 b,Hot,rocky-iron,2.94,1.43,1.44,1224.3,2.02,0.03,KOI-579,Cyg,0.87,0.79,0,2015,0.03030303
KOI-579.02,Kepler-190 c,Hot,rocky-iron,3.17,1.46,1.49,1002.8,3.76,0.05,KOI-579,Cyg,0.87,0.79,0,2015,0.05050505
KOI-582.02,Kepler-191 c,Hot,rocky-iron,12.80,2.11,2.88,623.9,17.74,0.13,KOI-582,Cyg,0.88,0.79,0,2015,0.13131313
KOI-582.03,Kepler-191 b,Hot,rocky-iron,2.34,1.34,1.30,738.3,9.94,0.09,KOI-582,Cyg,0.88,0.79,0,2015,0.09090909
KOI-584.01,Kepler-192 b,Hot,rocky-iron,15.24,2.20,3.15,793.9,9.93,0.09,KOI-584,Lyr,0.89,0.81,0,2015,0.09090909
KOI-584.02,Kepler-192 c,Hot,rocky-iron,17.43,2.27,3.38,627.7,21.22,0.14,KOI-584,Lyr,0.89,0.81,0,2015,0.14141414
KOI-590.01,Kepler-193 b,Hot,rocky-iron,24.05,2.44,4.04,966.6,11.39,0.11,KOI-590,Cyg,1.21,1.14,0,2015,0.11111111
KOI-597.02,Kepler-194 b,Hot,rocky-iron,3.32,1.48,1.52,1552.3,2.09,0.03,KOI-597,Cyg,0.96,1.00,0,2015,0.03030303
KOI-597.03,Kepler-194 d,Hot,rocky-iron,22.72,2.41,3.91,565.0,52.81,0.27,KOI-597,Cyg,0.96,1.00,0,2015,0.27272727
KOI-598.01,Kepler-195 b,Hot,rocky-iron,15.84,2.22,3.21,800.3,8.31,0.08,KOI-598,Cyg,0.88,0.79,0,2015,0.08080808
KOI-598.02,Kepler-195 c,Hot,rocky-iron,6.27,1.76,2.03,512.7,34.10,0.20,KOI-598,Cyg,0.88,0.79,0,2015,0.20202020
KOI-623.01,Kepler-197 c,Hot,rocky-iron,1.89,1.26,1.19,967.8,10.35,0.09,KOI-623,Cyg,0.92,1.12,0,2015,0.09090909
KOI-623.02,Kepler-197 d,Hot,rocky-iron,1.39,1.15,1.05,845.8,15.68,0.12,KOI-623,Cyg,0.92,1.12,0,2015,0.12121212
KOI-623.03,Kepler-197 b,Hot,rocky-iron,1.09,1.07,0.95,1176.7,5.60,0.06,KOI-623,Cyg,0.92,1.12,0,2015,0.06060606
KOI-623.04,Kepler-197 e,Hot,rocky-iron,0.59,0.89,0.75,723.3,25.21,0.16,KOI-623,Cyg,0.92,1.12,0,2015,0.16161616
KOI-624.02,Kepler-198 c,Hot,rocky-iron,24.05,2.44,4.04,508.5,49.57,0.26,KOI-624,Lyr,0.95,0.85,0,2015,0.26262626
KOI-654.02,Kepler-200 c,Hot,rocky-iron,10.10,1.99,2.55,1031.8,10.22,0.09,KOI-654,Lyr,1.04,1.28,0,2015,0.09090909
KOI-655.02,Kepler-201 c,Hot,rocky-iron,18.80,2.31,3.52,445.3,151.89,0.58,KOI-655,Cyg,1.10,1.24,0,2015,0.58585858
KOI-657.01,Kepler-202 b,Hot,rocky-iron,8.59,1.91,2.35,887.1,4.07,0.05,KOI-657,Lyr,0.76,0.72,0,2015,0.05050505
KOI-657.02,Kepler-202 c,Hot,rocky-iron,11.16,2.04,2.68,576.4,16.28,0.11,KOI-657,Lyr,0.76,0.72,0,2015,0.11111111
KOI-658.01,Kepler-203 b,Hot,rocky-iron,18.10,2.29,3.45,1281.3,3.16,0.04,KOI-658,Cyg,1.01,0.94,0,2015,0.04040404
KOI-658.02,Kepler-203 c,Hot,rocky-iron,13.57,2.14,2.96,1080.6,5.37,0.06,KOI-658,Cyg,1.01,0.94,0,2015,0.06060606
KOI-658.03,Kepler-203 d,Hot,rocky-iron,1.94,1.27,1.21,842.8,11.33,0.10,KOI-658,Cyg,1.01,0.94,0,2015,0.10101010
KOI-661.01,Kepler-204 b,Hot,rocky-iron,16.14,2.23,3.25,852.8,14.40,0.12,KOI-661,Lyr,0.99,1.04,0,2015,0.12121212
KOI-661.02,Kepler-204 c,Hot,rocky-iron,2.47,1.36,1.33,702.0,25.66,0.17,KOI-661,Lyr,0.99,1.04,0,2015,0.17171717
KOI-663.01,Kepler-205 b,Hot,rocky-iron,1.47,1.17,1.07,703.7,2.76,0.03,KOI-663,Lyr,0.51,0.48,0,2015,0.03030303
KOI-663.02,Kepler-205 c,Hot,rocky-iron,2.05,1.29,1.23,380.2,20.31,0.12,KOI-663,Lyr,0.51,0.48,0,2015,0.12121212
KOI-664.01,Kepler-206 c,Hot,rocky-iron,4.11,1.57,1.67,834.8,13.14,0.11,KOI-664,Lyr,0.98,1.06,0,2015,0.11111111
KOI-664.02,Kepler-206 b,Hot,rocky-iron,1.23,1.11,1.00,980.2,7.78,0.08,KOI-664,Lyr,0.98,1.06,0,2015,0.08080808
KOI-664.03,Kepler-206 d,Hot,rocky-iron,0.73,0.95,0.81,687.0,23.44,0.16,KOI-664,Lyr,0.98,1.06,0,2015,0.16161616
KOI-665.01,Kepler-207 d,Hot,rocky-iron,18.80,2.31,3.52,1160.3,5.87,0.07,KOI-665,Lyr,1.06,1.11,0,2015,0.07070707
KOI-665.02,Kepler-207 b,Hot,rocky-iron,1.16,1.09,0.97,1745.0,1.61,0.03,KOI-665,Lyr,1.06,1.11,0,2015,0.03030303
KOI-665.03,Kepler-207 c,Hot,rocky-iron,1.05,1.06,0.94,1413.1,3.07,0.04,KOI-665,Lyr,1.06,1.11,0,2015,0.04040404
KOI-671.01,Kepler-208 b,Hot,rocky-iron,5.27,1.68,1.87,1411.8,4.23,0.05,KOI-671,Cyg,1.12,1.33,0,2015,0.05050505
KOI-671.02,Kepler-208 c,Hot,rocky-iron,3.41,1.49,1.53,1172.5,7.47,0.08,KOI-671,Cyg,1.12,1.33,0,2015,0.08080808
KOI-671.03,Kepler-208 e,Hot,rocky-iron,3.66,1.52,1.58,914.3,16.26,0.13,KOI-671,Cyg,1.12,1.33,0,2015,0.13131313
KOI-671.04,Kepler-208 d,Hot,rocky-iron,2.05,1.29,1.23,1028.9,11.13,0.10,KOI-671,Cyg,1.12,1.33,0,2015,0.10101010
KOI-676.02,Kepler-210 b,Hot,rocky-iron,16.14,2.23,3.25,782.8,2.45,0.03,KOI-676,Cyg,0.55,0.53,0,2015,0.03030303
KOI-678.02,Kepler-211 b,Hot,rocky-iron,26.43,2.49,4.26,1351.0,4.14,0.05,KOI-678,Lyr,0.93,1.56,0,2015,0.05050505
KOI-679.01,Kepler-212 c,Hot,rocky-iron,11.61,2.06,2.73,660.5,31.80,0.21,KOI-679,Lyr,1.14,1.14,0,2015,0.21212121
KOI-679.02,Kepler-212 b,Hot,rocky-iron,0.55,0.87,0.73,799.4,16.26,0.13,KOI-679,Lyr,1.14,1.14,0,2015,0.13131313
KOI-692.01,Kepler-213 b,Hot,rocky-iron,1.65,1.21,1.12,1325.1,2.46,0.04,KOI-692,Cyg,0.99,0.90,0,2015,0.04040404
KOI-692.02,Kepler-213 c,Hot,rocky-iron,5.27,1.68,1.87,1071.4,4.82,0.06,KOI-692,Cyg,0.99,0.90,0,2015,0.06060606
KOI-693.01,Kepler-214 c,Hot,rocky-iron,7.28,1.83,2.17,683.7,28.78,0.19,KOI-693,Lyr,1.04,0.98,0,2015,0.19191919
KOI-693.02,Kepler-214 b,Hot,rocky-iron,8.77,1.92,2.38,828.9,15.66,0.12,KOI-693,Lyr,1.04,0.98,0,2015,0.12121212
KOI-700.01,Kepler-215 d,Hot,rocky-iron,24.51,2.45,4.08,649.2,30.86,0.18,KOI-700,Cyg,0.81,1.01,0,2015,0.18181818
KOI-700.02,Kepler-215 b,Hot,rocky-iron,6.27,1.76,2.03,934.3,9.36,0.08,KOI-700,Cyg,0.81,1.01,0,2015,0.08080808
KOI-700.03,Kepler-215 c,Hot,rocky-iron,3.75,1.53,1.60,807.9,14.67,0.11,KOI-700,Cyg,0.81,1.01,0,2015,0.11111111
KOI-700.04,Kepler-215 e,Hot,rocky-iron,6.14,1.75,2.01,502.6,68.16,0.30,KOI-700,Cyg,0.81,1.01,0,2015,0.30303030
KOI-701.01,Kepler-62 d,Hot,rocky-iron,9.51,1.96,2.47,545.6,18.16,0.12,KOI-701,Lyr,0.64,0.65,0,2015,0.12121212
KOI-701.02,Kepler-62 b,Hot,rocky-iron,2.28,1.33,1.29,774.3,5.71,0.05,KOI-701,Lyr,0.64,0.65,0,2015,0.05050505
KOI-701.03,Kepler-62 e,Warm,rocky-iron,5.88,1.73,1.97,307.4,122.39,0.42,KOI-701,Lyr,0.64,0.65,1,2015,0.42424242
KOI-701.04,Kepler-62 f,Warm,rocky-iron,2.87,1.42,1.42,243.0,267.28,0.70,KOI-701,Lyr,0.64,0.65,1,2015,0.70707070
KOI-701.05,Kepler-62 c,Hot,rocky-iron,0.16,0.59,0.46,593.5,12.44,0.09,KOI-701,Lyr,0.64,0.65,0,2015,0.09090909
KOI-707.05,Kepler-33 b,Hot,rocky-iron,3.83,1.54,1.62,1375.2,5.67,0.06,KOI-707,Cyg,1.10,1.69,0,2015,0.06060606
KOI-708.01,Kepler-216 c,Hot,rocky-iron,26.93,2.50,4.31,814.2,17.41,0.14,KOI-708,Cyg,1.08,1.03,0,2015,0.14141414
KOI-708.02,Kepler-216 b,Hot,rocky-iron,8.59,1.91,2.35,1047.1,7.69,0.08,KOI-708,Cyg,1.08,1.03,0,2015,0.08080808
KOI-710.01,Kepler-217 b,Hot,rocky-iron,6.98,1.81,2.13,1419.2,5.37,0.07,KOI-710,Cyg,1.43,1.44,0,2015,0.07070707
KOI-710.02,Kepler-217 c,Hot,rocky-iron,3.32,1.48,1.52,1216.4,8.59,0.09,KOI-710,Cyg,1.43,1.44,0,2015,0.09090909
KOI-711.02,Kepler-218 b,Hot,rocky-iron,5.75,1.72,1.95,1202.4,3.62,0.05,KOI-711,Cyg,0.98,1.05,0,2015,0.05050505
KOI-719.01,Kepler-220 c,Hot,rocky-iron,4.72,1.63,1.77,662.3,9.03,0.08,KOI-719,Cyg,0.73,0.69,0,2015,0.08080808
KOI-719.02,Kepler-220 d,Hot,rocky-iron,0.96,1.03,0.90,458.8,28.12,0.16,KOI-719,Cyg,0.73,0.69,0,2015,0.16161616
KOI-719.03,Kepler-220 e,Hot,rocky-iron,2.22,1.32,1.28,398.7,45.90,0.23,KOI-719,Cyg,0.73,0.69,0,2015,0.23232323
KOI-719.04,Kepler-220 b,Hot,rocky-iron,0.47,0.83,0.68,834.7,4.16,0.05,KOI-719,Cyg,0.73,0.69,0,2015,0.05050505
KOI-720.03,Kepler-221 e,Hot,rocky-iron,23.60,2.43,4.00,626.8,18.37,0.12,KOI-720,Cyg,0.72,0.75,0,2015,0.12121212
KOI-720.04,Kepler-221 b,Hot,rocky-iron,3.41,1.49,1.53,1120.9,2.80,0.03,KOI-720,Cyg,0.72,0.75,0,2015,0.03030303
KOI-730.04,Kepler-223 b,Hot,rocky-iron,6.83,1.80,2.11,1003.5,7.38,0.07,KOI-730,Cyg,0.90,1.00,0,2015,0.07070707
KOI-733.03,Kepler-224 b,Hot,rocky-iron,3.49,1.50,1.55,1018.1,3.13,0.04,KOI-733,Cyg,0.77,0.70,0,2015,0.04040404
KOI-733.04,Kepler-224 e,Hot,rocky-iron,10.30,2.00,2.58,584.8,18.64,0.13,KOI-733,Cyg,0.77,0.70,0,2015,0.13131313
KOI-736.01,Kepler-225 c,Hot,rocky-iron,6.98,1.81,2.13,372.4,18.79,0.11,KOI-736,Cyg,0.46,0.44,0,2015,0.11111111
KOI-736.02,Kepler-225 b,Hot,rocky-iron,2.47,1.36,1.33,501.6,6.74,0.05,KOI-736,Cyg,0.46,0.44,0,2015,0.05050505
KOI-749.02,Kepler-226 b,Hot,rocky-iron,4.31,1.59,1.70,1056.7,3.94,0.05,KOI-749,Cyg,0.88,0.81,0,2015,0.05050505
KOI-749.03,Kepler-226 d,Hot,rocky-iron,1.56,1.19,1.10,834.3,8.11,0.08,KOI-749,Cyg,0.88,0.81,0,2015,0.08080808
KOI-756.03,Kepler-228 b,Hot,rocky-iron,4.02,1.56,1.65,1399.2,2.57,0.04,KOI-756,Cyg,1.05,0.97,0,2015,0.04040404
KOI-757.03,Kepler-229 b,Hot,rocky-iron,22.72,2.41,3.91,830.7,6.25,0.06,KOI-757,Dra,0.83,0.74,0,2015,0.06060606
KOI-759.02,Kepler-230 c,Hot,rocky-iron,13.31,2.13,2.93,404.6,91.77,0.38,KOI-759,Dra,0.85,0.80,0,2015,0.38383838
KOI-775.01,Kepler-52 c,Hot,rocky-iron,6.98,1.81,2.13,434.5,16.38,0.10,KOI-775,Dra,0.56,0.54,0,2015,0.10101010
KOI-775.02,Kepler-52 b,Hot,rocky-iron,19.53,2.33,3.60,548.2,7.88,0.06,KOI-775,Dra,0.56,0.54,0,2015,0.06060606
KOI-775.03,Kepler-52 d,Hot,rocky-iron,6.83,1.80,2.11,342.8,36.45,0.18,KOI-775,Dra,0.56,0.54,0,2015,0.18181818
KOI-784.01,Kepler-231 c,Hot,rocky-iron,5.88,1.73,1.97,385.2,19.27,0.11,KOI-784,Cyg,0.51,0.48,0,2015,0.11111111
KOI-784.02,Kepler-231 b,Hot,rocky-iron,4.51,1.61,1.74,467.0,10.07,0.07,KOI-784,Cyg,0.51,0.48,0,2015,0.07070707
KOI-812.01,Kepler-235 b,Hot,rocky-iron,14.66,2.18,3.09,681.7,3.34,0.04,KOI-812,Lyr,0.51,0.48,0,2015,0.04040404
KOI-812.02,Kepler-235 d,Hot,rocky-iron,10.10,1.99,2.55,394.3,20.06,0.12,KOI-812,Lyr,0.51,0.48,0,2015,0.12121212
KOI-812.03,Kepler-235 e,Warm,rocky-iron,9.13,1.94,2.43,309.0,46.18,0.20,KOI-812,Lyr,0.51,0.48,1,2015,0.20202020
KOI-812.04,Kepler-235 c,Hot,rocky-iron,1.69,1.22,1.14,514.0,7.83,0.06,KOI-812,Lyr,0.51,0.48,0,2015,0.06060606
KOI-817.01,Kepler-236 c,Hot,rocky-iron,7.59,1.85,2.22,367.8,23.97,0.13,KOI-817,Lyr,0.54,0.51,0,2015,0.13131313
KOI-817.02,Kepler-236 b,Hot,rocky-iron,3.75,1.53,1.60,501.9,8.30,0.07,KOI-817,Lyr,0.54,0.51,0,2015,0.07070707
KOI-825.01,Kepler-237 c,Hot,rocky-iron,17.43,2.27,3.38,735.2,8.10,0.07,KOI-825,Lyr,0.73,0.73,0,2015,0.07070707
KOI-825.02,Kepler-237 b,Hot,rocky-iron,3.49,1.50,1.55,862.9,4.72,0.05,KOI-825,Lyr,0.73,0.73,0,2015,0.05050505
KOI-829.02,Kepler-53 d,Hot,rocky-iron,24.05,2.44,4.04,918.8,9.75,0.09,KOI-829,Lyr,1.02,0.94,0,2015,0.09090909
KOI-834.02,Kepler-238 d,Hot,rocky-iron,13.84,2.15,2.99,805.4,13.23,0.11,KOI-834,Lyr,1.06,0.96,0,2015,0.11111111
KOI-834.03,Kepler-238 c,Hot,rocky-iron,8.07,1.88,2.28,1023.0,6.16,0.07,KOI-834,Lyr,1.06,0.96,0,2015,0.07070707
KOI-834.04,Kepler-238 b,Hot,rocky-iron,1.02,1.05,0.93,1437.4,2.09,0.03,KOI-834,Lyr,1.06,0.96,0,2015,0.03030303
KOI-834.05,Kepler-238 f,Hot,rocky-iron,13.84,2.15,2.99,532.3,50.45,0.27,KOI-834,Lyr,1.06,0.96,0,2015,0.27272727
KOI-835.01,Kepler-239 b,Hot,rocky-iron,20.67,2.36,3.71,662.8,11.76,0.09,KOI-835,Cyg,0.80,0.73,0,2015,0.09090909
KOI-835.02,Kepler-239 c,Hot,rocky-iron,14.95,2.19,3.12,411.5,56.23,0.27,KOI-835,Cyg,0.80,0.73,0,2015,0.27272727
KOI-837.01,Kepler-240 c,Hot,rocky-iron,18.45,2.30,3.49,759.7,7.95,0.07,KOI-837,Lyr,0.82,0.77,0,2015,0.07070707
KOI-837.02,Kepler-240 b,Hot,rocky-iron,3.83,1.54,1.62,924.1,4.14,0.05,KOI-837,Lyr,0.82,0.77,0,2015,0.05050505
KOI-842.01,Kepler-241 b,Hot,rocky-iron,20.29,2.35,3.67,610.7,12.72,0.09,KOI-842,Cyg,0.67,0.69,0,2015,0.09090909
KOI-857.01,Kepler-243 b,Hot,rocky-iron,25.93,2.48,4.22,891.4,5.72,0.06,KOI-857,Lyr,0.92,0.81,0,2015,0.06060606
KOI-857.02,Kepler-243 c,Hot,rocky-iron,5.88,1.73,1.97,595.8,20.03,0.14,KOI-857,Lyr,0.92,0.81,0,2015,0.14141414
KOI-864.03,Kepler-244 c,Hot,rocky-iron,10.30,2.00,2.58,795.7,9.77,0.09,KOI-864,Lyr,0.88,0.80,0,2015,0.09090909
KOI-870.01,Kepler-28 b,Hot,rocky-iron,8.77,1.92,2.38,629.2,5.91,0.05,KOI-870,Cyg,0.59,0.57,0,2015,0.05050505
KOI-870.02,Kepler-28 c,Hot,rocky-iron,9.13,1.94,2.43,553.1,8.99,0.07,KOI-870,Cyg,0.59,0.57,0,2015,0.07070707
KOI-872.02,Kepler-46 d,Hot,rocky-iron,14.38,2.17,3.05,891.5,6.77,0.07,KOI-872,Lyr,0.88,0.93,0,2015,0.07070707
KOI-874.01,Kepler-246 b,Hot,rocky-iron,21.07,2.37,3.75,954.8,4.60,0.05,KOI-874,Cyg,0.89,0.81,0,2015,0.05050505
KOI-874.02,Kepler-246 c,Hot,rocky-iron,4.02,1.56,1.65,713.9,11.19,0.09,KOI-874,Cyg,0.89,0.81,0,2015,0.09090909
KOI-877.01,Kepler-81 b,Hot,rocky-iron,9.90,1.98,2.52,586.0,5.95,0.05,KOI-877,Cyg,0.54,0.52,0,2015,0.05050505
KOI-877.02,Kepler-81 c,Hot,rocky-iron,7.91,1.87,2.26,471.8,12.04,0.08,KOI-877,Cyg,0.54,0.52,0,2015,0.08080808
KOI-877.03,Kepler-81 d,Hot,rocky-iron,0.93,1.02,0.89,389.7,20.84,0.12,KOI-877,Cyg,0.54,0.52,0,2015,0.12121212
KOI-880.04,Kepler-82 d,Hot,rocky-iron,6.41,1.77,2.05,1355.0,2.38,0.03,KOI-880,Cyg,0.97,0.93,0,2015,0.03030303
KOI-884.03,Kepler-247 b,Hot,rocky-iron,4.93,1.65,1.81,1016.0,3.34,0.04,KOI-884,Lyr,0.88,0.79,0,2015,0.04040404
KOI-886.01,Kepler-54 b,Hot,rocky-iron,19.53,2.33,3.60,501.6,8.01,0.06,KOI-886,Cyg,0.49,0.47,0,2015,0.06060606
KOI-886.02,Kepler-54 c,Hot,rocky-iron,2.28,1.33,1.29,432.7,12.07,0.08,KOI-886,Cyg,0.49,0.47,0,2015,0.08080808
KOI-886.03,Kepler-54 d,Hot,rocky-iron,2.60,1.38,1.36,366.6,21.00,0.12,KOI-886,Cyg,0.49,0.47,0,2015,0.12121212
KOI-898.01,Kepler-83 b,Hot,rocky-iron,21.07,2.37,3.75,507.5,9.77,0.07,KOI-898,Lyr,0.54,0.52,0,2015,0.07070707
KOI-898.02,Kepler-83 d,Hot,rocky-iron,6.98,1.81,2.13,609.8,5.17,0.05,KOI-898,Lyr,0.54,0.52,0,2015,0.05050505
KOI-898.03,Kepler-83 c,Hot,rocky-iron,11.61,2.06,2.73,406.4,20.09,0.12,KOI-898,Lyr,0.54,0.52,0,2015,0.12121212
KOI-899.01,Kepler-249 c,Hot,rocky-iron,1.94,1.27,1.21,471.0,7.11,0.06,KOI-899,Cyg,0.44,0.42,0,2015,0.06060606
KOI-899.02,Kepler-249 b,Hot,rocky-iron,1.16,1.09,0.97,594.5,3.31,0.03,KOI-899,Cyg,0.44,0.42,0,2015,0.03030303
KOI-899.03,Kepler-249 d,Hot,rocky-iron,1.65,1.21,1.12,371.8,15.37,0.09,KOI-899,Cyg,0.44,0.42,0,2015,0.09090909
KOI-904.01,Kepler-55 d,Hot,rocky-iron,4.82,1.64,1.79,992.2,2.21,0.03,KOI-904,Lyr,0.65,0.66,0,2015,0.03030303
KOI-904.04,Kepler-55 e,Hot,rocky-iron,3.57,1.51,1.57,783.6,4.62,0.05,KOI-904,Lyr,0.65,0.66,0,2015,0.05050505
KOI-904.05,Kepler-55 f,Hot,rocky-iron,4.40,1.60,1.72,612.1,10.20,0.08,KOI-904,Lyr,0.65,0.66,0,2015,0.08080808
KOI-906.01,Kepler-250 c,Hot,rocky-iron,22.72,2.41,3.91,822.6,7.16,0.07,KOI-906,Cyg,0.85,0.80,0,2015,0.07070707
KOI-906.02,Kepler-250 d,Hot,rocky-iron,16.14,2.23,3.25,619.9,17.65,0.13,KOI-906,Cyg,0.85,0.80,0,2015,0.13131313
KOI-906.03,Kepler-250 b,Hot,rocky-iron,1.43,1.16,1.06,962.4,4.15,0.05,KOI-906,Cyg,0.85,0.80,0,2015,0.05050505
KOI-907.03,Kepler-251 b,Hot,rocky-iron,6.83,1.80,2.11,1193.4,4.79,0.05,KOI-907,Cyg,0.94,1.07,0,2015,0.05050505
KOI-912.01,Kepler-252 c,Hot,rocky-iron,21.47,2.38,3.79,548.9,10.85,0.08,KOI-912,Cyg,0.61,0.59,0,2015,0.08080808
KOI-912.02,Kepler-252 b,Hot,rocky-iron,1.60,1.20,1.11,623.4,6.67,0.06,KOI-912,Cyg,0.61,0.59,0,2015,0.06060606
KOI-921.03,Kepler-253 b,Hot,rocky-iron,5.39,1.69,1.89,1000.0,3.78,0.05,KOI-921,Cyg,0.87,0.79,0,2015,0.05050505
KOI-934.02,Kepler-254 c,Hot,rocky-iron,17.76,2.28,3.42,811.8,12.41,0.10,KOI-934,Lyr,0.97,0.89,0,2015,0.10101010
KOI-938.03,Kepler-255 b,Hot,rocky-iron,3.92,1.55,1.63,962.9,5.71,0.06,KOI-938,Cyg,1.01,0.89,0,2015,0.06060606
KOI-939.01,Kepler-256 c,Hot,rocky-iron,6.69,1.79,2.09,1250.8,3.39,0.05,KOI-939,Cyg,1.07,0.96,0,2015,0.05050505
KOI-939.02,Kepler-256 d,Hot,rocky-iron,4.93,1.65,1.81,1048.9,5.84,0.07,KOI-939,Cyg,1.07,0.96,0,2015,0.07070707
KOI-939.03,Kepler-256 b,Hot,rocky-iron,2.53,1.37,1.35,1582.7,1.62,0.03,KOI-939,Cyg,1.07,0.96,0,2015,0.03030303
KOI-939.04,Kepler-256 e,Hot,rocky-iron,6.83,1.80,2.11,867.2,10.68,0.10,KOI-939,Cyg,1.07,0.96,0,2015,0.10101010
KOI-952.01,Kepler-32 b,Hot,rocky-iron,12.31,2.09,2.82,558.6,5.90,0.05,KOI-952,Cyg,0.52,0.50,0,2015,0.05050505
KOI-952.02,Kepler-32 c,Hot,rocky-iron,15.24,2.20,3.15,496.5,8.75,0.07,KOI-952,Cyg,0.52,0.50,0,2015,0.07070707
KOI-952.03,Kepler-32 d,Hot,rocky-iron,18.10,2.29,3.45,374.9,22.78,0.13,KOI-952,Cyg,0.52,0.50,0,2015,0.13131313
