P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year,Norm Distance
KOI-148.01,Kepler-48 b,Hot,rocky-iron,8.24,1.89,2.31,965.5,4.78,0.05,KOI-148,Cyg,0.95,0.85,0,2015,0.05050505
KOI-148.03,Kepler-48 d,Hot,rocky-iron,10.72,2.02,2.63,488.5,42.90,0.24,KOI-148,Cyg,0.95,0.85,0,2015,0.24242424
KOI-152.04,Kepler-79 e,Hot,rocky-iron,16.14,2.23,3.25,514.7,81.06,0.38,KOI-152,Cyg,1.08,1.04,0,2015,0.38383838
KOI-153.02,Kepler-113 b,Hot,rocky-iron,8.41,1.90,2.33,813.2,4.75,0.05,KOI-153,Cyg,0.70,0.71,0,2015,0.05050505
KOI-156.01,Kepler-114 c,Hot,rocky-iron,2.00,1.28,1.22,543.7,8.04,0.06,KOI-156,Cyg,0.56,0.54,0,2015,0.06060606
KOI-156.02,Kepler-114 b,Hot,rocky-iron,0.87,1.00,0.87,619.4,5.19,0.05,KOI-156,Cyg,0.56,0.54,0,2015,0.05050505
KOI-156.03,Kepler-114 d,Hot,rocky-iron,11.38,2.05,2.71,492.2,11.78,0.08,KOI-156,Cyg,0.56,0.54,0,2015,0.08080808
KOI-157.06,Kepler-11 b,Hot,rocky-iron,7.59,1.85,2.22,892.4,10.30,0.09,KOI-157,Cyg,0.92,1.05,0,2015,0.09090909
KOI-159.01,Kepler-115 c,Hot,rocky-iron,18.80,2.31,3.52,987.3,8.99,0.08,KOI-159,Cyg,1.00,1.07,0,2015,0.08080808
KOI-159.02,Kepler-115 b,Hot,rocky-iron,0.84,0.99,0.86,1491.1,2.40,0.04,KOI-159,Cyg,1.00,1.07,0,2015,0.04040404
KOI-168.02,Kepler-23 d,Hot,rocky-iron,17.76,2.28,3.42,957.8,15.27,0.12,KOI-168,Cyg,1.08,1.55,0,2015,0.12121212
KOI-168.03,Kepler-23 b,Hot,rocky-iron,8.95,1.93,2.40,1218.1,7.11,0.07,KOI-168,Cyg,1.08,1.55,0,2015,0.07070707
KOI-171.02,Kepler-116 c,Hot,rocky-iron,7.59,1.85,2.22,955.3,13.07,0.12,KOI-171,Cyg,1.20,1.17,0,2015,0.12121212
KOI-172.01,Kepler-69 b,Hot,rocky-iron,17.76,2.28,3.42,793.6,13.72,0.10,KOI-172,Cyg,0.81,0.94,0,2015,0.10101010
KOI-172.02,Kepler-69 c,Warm,rocky-iron,6.01,1.74,1.98,328.6,242.47,0.71,KOI-172,Cyg,0.81,0.94,1,2015,0.71717171
KOI-216.02,Kepler-118 b,Hot,rocky-iron,5.16,1.67,1.85,901.7,7.52,0.07,KOI-216,Cyg,0.86,0.98,0,2015,0.07070707
KOI-220.02,Kepler-119 c,Hot,rocky-iron,0.61,0.90,0.76,1047.5,4.13,0.05,KOI-220,Cyg,0.91,0.83,0,2015,0.05050505
KOI-222.01,Kepler-120 b,Hot,rocky-iron,11.61,2.06,2.73,621.4,6.31,0.06,KOI-222,Lyr,0.59,0.57,0,2015,0.06060606
KOI-222.02,Kepler-120 c,Hot,rocky-iron,4.82,1.64,1.79,496.1,12.79,0.09,KOI-222,Lyr,0.59,0.57,0,2015,0.09090909
KOI-223.01,Kepler-121 b,Hot,rocky-iron,25.45,2.47,4.17,1057.8,3.18,0.04,KOI-223,Lyr,0.77,0.72,0,2015,0.04040404
KOI-232.02,Kepler-122 b,Hot,rocky-iron,7.43,1.84,2.20,1082.8,5.77,0.06,KOI-232,Lyr,1.03,0.95,0,2015,0.06060606
KOI-232.03,Kepler-122 d,Hot,rocky-iron,3.66,1.52,1.58,709.3,21.59,0.15,KOI-232,Lyr,1.03,0.95,0,2015,0.15151515
KOI-232.04,Kepler-122 e,Hot,rocky-iron,8.95,1.93,2.40,598.8,38.00,0.22,KOI-232,Lyr,1.03,0.95,0,2015,0.22222222
KOI-232.05,Kepler-122 f,Hot,rocky-iron,6.98,1.81,2.13,529.6,56.26,0.29,KOI-232,Lyr,1.03,0.95,0,2015,0.29292929
KOI-238.02,Kepler-123 c,Hot,rocky-iron,2.16,1.31,1.26,706.3,26.70,0.18,KOI-238,Cyg,1.01,1.09,0,2015,0.18181818
KOI-241.01,Kepler-124 c,Hot,rocky-iron,15.24,2.20,3.15,630.9,13.82,0.10,KOI-241,Dra,0.72,0.66,0,2015,0.10101010
KOI-241.02,Kepler-124 d,Hot,rocky-iron,1.89,1.26,1.19,482.6,30.95,0.17,KOI-241,Dra,0.72,0.66,0,2015,0.17171717
KOI-241.03,Kepler-124 b,Hot,rocky-iron,0.42,0.80,0.65,960.3,3.41,0.04,KOI-241,Dra,0.72,0.66,0,2015,0.04040404
KOI-245.01,Kepler-37 d,Hot,rocky-iron,8.07,1.88,2.28,499.5,39.79,0.21,KOI-245,Lyr,0.80,0.77,0,2015,0.21212121
KOI-245.02,Kepler-37 c,Hot,rocky-iron,0.29,0.71,0.57,588.9,21.30,0.14,KOI-245,Lyr,0.80,0.77,0,2015,0.14141414
KOI-246.01,Kepler-68 b,Hot,rocky-iron,18.10,2.29,3.45,1193.7,5.40,0.06,KOI-246,Cyg,1.08,1.24,0,2015,0.06060606
KOI-246.02,Kepler-68 c,Hot,rocky-iron,0.66,0.92,0.78,977.1,9.61,0.09,KOI-246,Cyg,1.08,1.24,0,2015,0.09090909
KOI-248.01,Kepler-49 b,Hot,rocky-iron,16.14,2.23,3.25,540.1,7.20,0.06,KOI-248,Cyg,0.54,0.51,0,2015,0.06060606
KOI-248.03,Kepler-49 d,Hot,rocky-iron,3.83,1.54,1.62,733.7,2.58,0.03,KOI-248,Cyg,0.54,0.51,0,2015,0.03030303
KOI-248.04,Kepler-49 e,Hot,rocky-iron,2.11,1.30,1.25,396.2,18.60,0.11,KOI-248,Cyg,0.54,0.51,0,2015,0.11111111
KOI-250.03,Kepler-26 d,Hot,rocky-iron,1.74,1.23,1.15,682.1,3.54,0.04,KOI-250,Lyr,0.55,0.53,0,2015,0.04040404
KOI-250.04,Kepler-26 e,Warm,rocky-iron,12.80,2.11,2.88,319.5,46.83,0.21,KOI-250,Lyr,0.55,0.53,1,2015,0.21212121
KOI-251.02,Kepler-125 c,Hot,rocky-iron,0.51,0.85,0.71,565.2,5.77,0.05,KOI-251,Cyg,0.54,0.52,0,2015,0.05050505
KOI-260.01,Kepler-126 b,Hot,rocky-iron,3.83,1.54,1.62,1056.8,10.50,0.10,KOI-260,Cyg,1.19,1.36,0,2015,0.10101010
KOI-260.02,Kepler-126 d,Hot,rocky-iron,25.45,2.47,4.17,529.2,100.28,0.45,KOI-260,Cyg,1.19,1.36,0,2015,0.45454545
